organism       PF01521.22     PF05093.15     PF01458.19     PF02657.17     PF04384.15     PF06155.14     PF16803.7      PF13232.8      PF13233.8      PF01592.18     PF01883.21     PF01491.18     PF01106.19     PF03473.19     PF08712.13     PF05347.17     PF07743.15     PF09918.11     PF11982.10     PF12447.10     PF19295.1      PF00012.22     PF00266.21     PF00005.29     
UP000244168    2/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            1/1            1/2            0/1            0/2            0/1            0/1            0/0            1/2            0/0            0/0            0/0            0/0            2/5            2/17           5/76           
UP000001436    2/2            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/1            1/2            0/1            0/0            0/1            0/0            0/0            1/4            0/0            0/1            0/1            0/0            4/6            2/27           9/114          
UP000249299    3/3            0/0            3/3            1/1            0/0            0/1            0/0            0/0            0/0            1/2            2/2            0/0            1/2            0/2            0/1            0/0            0/3            0/1            0/1            0/0            3/3            1/4            5/25           19/166         
UP000256845    2/2            0/0            2/2            1/1            0/0            0/4            0/1            0/0            0/0            0/1            2/3            0/0            0/1            0/3            0/1            0/0            0/2            0/0            0/0            0/1            2/3            2/4            5/31           14/116         
UP000001983    2/2            0/0            2/2            0/0            0/0            0/1            0/1            0/0            0/0            2/2            3/4            0/1            0/1            0/1            0/0            0/0            1/3            0/0            0/0            0/1            2/2            3/5            2/26           25/190         
UP000028641    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/2            0/0            0/2            0/0            0/0            0/0            0/0            0/0            2/2            1/3            3/12           2/65           
UP000092258    2/4            0/0            0/0            1/1            0/2            0/1            0/1            0/0            0/0            1/1            0/0            0/3            0/1            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            2/7            4/15           2/95           
UP000199376    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            1/4            0/5            6/61           
UP000193431    1/2            0/0            2/2            1/1            0/1            0/0            0/1            0/0            0/1            0/0            3/3            0/1            0/2            0/0            0/1            0/1            0/1            0/0            0/0            0/0            2/2            1/4            2/14           2/66           
UP000232695    1/1            0/0            2/2            1/2            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/1            0/2            0/1            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/3            3/21           3/66           
UP000014012    2/3            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            1/2            1/1            0/1            0/1            0/2            0/1            0/0            1/3            0/0            0/0            0/0            0/0            2/5            2/17           3/96           
UP000008975    1/2            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/7            0/0            0/0            0/2            0/1            0/0            0/0            0/1            0/0            0/0            1/1            1/1            3/18           11/127         
UP000198517    1/1            0/0            2/2            1/1            0/0            0/0            0/1            0/0            0/0            0/0            2/3            0/0            0/2            0/0            0/1            0/0            0/2            0/0            0/1            0/0            2/2            1/3            2/9            3/42           
UP000294960    1/4            0/0            2/2            0/0            0/0            0/0            0/2            0/0            0/0            1/1            1/3            0/0            0/2            0/1            0/1            0/0            0/3            0/0            0/1            0/0            2/2            2/6            5/31           14/183         
UP000009383    2/3            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/0            0/0            1/1            0/0            0/0            0/1            0/0            0/3            1/8            1/34           
UP000252893    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/2            2/3            0/0            0/1            0/2            0/1            0/0            0/1            0/0            0/1            0/0            2/2            1/4            4/22           19/194         
UP000292423    2/3            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            1/1            1/1            0/0            0/1            0/2            0/0            0/1            1/1            0/0            0/0            0/0            0/0            2/4            1/11           2/63           
UP000198885    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            3/3            0/0            0/1            0/2            0/1            0/0            0/0            0/1            0/0            0/0            2/2            1/5            5/19           18/141         
UP000503453    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            3/12           7/121          
UP000217696    1/3            0/0            2/2            0/0            0/0            0/0            0/2            0/0            0/0            1/1            1/2            0/0            0/1            0/1            0/0            0/0            0/2            0/0            0/0            0/0            2/2            1/5            4/30           4/103          
UP000199569    2/2            0/0            2/2            1/1            0/0            0/1            0/1            0/0            0/0            0/2            4/4            0/1            0/1            0/2            0/1            0/0            0/2            0/0            0/2            0/0            2/2            1/3            2/19           22/168         
UP000477651    2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            0/1            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/1            3/3            1/10           4/69           
UP000295324    2/4            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/1            0/2            0/3            0/1            0/1            0/2            0/0            0/0            0/0            2/2            1/5            4/21           3/125          
UP000193907    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/4            0/0            0/2            0/1            0/0            0/0            0/2            0/0            0/1            0/0            1/1            2/5            3/19           3/66           
UP000006177    2/2            0/0            0/0            0/1            1/1            0/1            0/1            0/0            0/0            1/1            1/2            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            2/4            3/12           0/50           
UP000076128    3/3            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            1/2            2/2            0/0            1/2            0/3            0/1            0/0            0/1            0/0            0/0            0/1            2/2            1/5            6/19           17/182         
UP000476332    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/2            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/2            3/11           23/171         
UP000266995    0/1            0/0            0/1            0/0            0/0            0/0            0/1            0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            3/3            3/17           11/172         
UP000298381    0/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/1            0/1            0/0            0/0            0/2            0/0            0/0            0/0            1/1            1/4            4/15           4/93           
UP000175621    1/1            0/0            2/2            0/1            0/0            0/0            0/1            0/0            0/0            1/1            2/3            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            1/10           10/89          
UP000199321    1/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/1            0/0            2/3            0/0            0/2            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/4            3/21           6/70           
UP000233844    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/3            0/1            0/2            0/3            0/1            0/0            0/1            0/1            0/0            0/0            2/2            1/4            4/27           3/74           
UP000269261    0/0            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/0            1/3            0/1            0/0            0/1            0/0            0/0            0/0            0/1            0/1            0/0            0/0            0/0            2/3            2/8            2/53           
UP000065540    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            3/3            0/0            0/1            0/1            0/1            0/0            0/2            0/1            0/0            0/0            2/2            1/4            3/32           32/308         
UP000037921    2/2            0/0            0/0            0/0            1/2            0/2            0/0            0/0            0/0            0/0            0/2            0/1            0/0            0/2            0/0            0/0            1/2            0/0            0/2            0/0            0/0            3/9            3/31           15/152         
UP000256629    1/1            0/0            2/2            1/1            0/1            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/2            0/2            0/1            0/1            0/2            0/0            0/0            0/0            2/2            1/3            2/16           2/57           
UP000182517    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            3/4            0/0            0/0            1/2            0/1            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/4            6/17           1/68           
UP000245921    0/0            0/0            1/3            0/0            0/0            0/0            0/1            0/0            0/0            1/1            1/1            0/1            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            2/3            2/12           17/152         
UP000002601    0/2            0/0            1/1            0/0            0/0            0/1            0/1            0/0            0/0            2/2            0/2            0/0            1/2            0/0            0/0            0/0            0/2            0/0            0/0            0/0            0/0            1/5            1/19           8/108          
UP000013300    1/4            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            3/5            0/1            0/1            0/1            0/1            0/1            0/0            0/1            0/0            0/0            2/2            1/6            5/32           10/141         
UP000320921    0/1            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            1/1            1/1            1/1            2/24           
UP000008080    1/1            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/2            0/1            0/3            0/1            0/0            0/1            0/0            0/0            2/2            1/4            3/13           5/87           
UP000018458    0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            1/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/2            1/2            2/10           4/62           
UP000193409    2/2            0/1            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            3/3            0/0            0/1            0/2            0/1            0/0            0/0            0/1            0/0            0/0            2/2            1/4            4/19           12/119         
UP000092025    1/1            0/0            2/3            0/1            0/0            0/0            0/1            0/0            0/0            1/1            2/4            0/0            0/1            0/5            0/0            0/0            0/1            0/0            0/0            0/1            1/1            1/7            3/20           17/131         
UP000294937    1/3            0/0            3/3            0/0            0/0            0/0            0/0            0/0            0/0            1/2            2/4            0/0            0/1            0/0            0/1            0/0            0/1            0/1            0/0            0/1            2/2            4/6            4/19           9/97           
UP000238368    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            2/7            5/82           
UP000000531    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            1/2            0/0            0/1            0/1            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/1            3/16           5/88           
UP000019372    1/3            0/1            2/2            0/0            0/0            0/0            0/3            0/0            0/1            1/1            3/4            0/0            0/1            0/1            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/8            4/21           10/152         
UP000324770    2/3            0/0            0/0            0/0            1/1            0/1            0/1            0/0            0/0            2/2            1/1            0/1            1/1            0/0            0/0            0/0            1/6            0/0            0/0            0/2            0/0            3/8            4/12           3/91           
UP000054502    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            1/4            3/50           
UP000326424    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            1/3            1/5            
UP000295689    1/5            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            3/4            0/0            0/1            0/1            0/1            0/1            0/0            0/1            0/1            0/0            2/2            1/6            4/26           10/131         
UP000076616    2/2            0/0            2/2            1/1            0/1            0/3            0/0            0/0            0/0            0/3            2/3            0/0            0/1            0/1            0/1            0/0            0/3            0/1            0/0            0/0            2/2            1/3            4/21           30/202         
UP000509529    3/3            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            2/2            3/3            0/1            1/1            0/1            0/0            0/0            0/1            0/0            0/1            0/1            0/0            2/5            2/12           6/58           
UP000029015    0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/2            1/2            5/57           
UP000051859    0/3            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/2            1/2            3/5            5/80           
UP000190626    1/4            0/1            2/3            0/0            0/0            0/0            0/1            0/0            0/0            1/1            1/2            0/0            0/2            0/1            0/1            0/0            0/0            0/0            0/1            0/0            2/2            1/6            5/32           13/218         
UP000307430    3/4            0/0            2/2            2/2            1/1            0/0            0/1            0/0            0/0            2/2            1/1            0/1            1/2            0/3            0/0            0/1            1/2            0/0            0/0            0/0            2/2            2/6            4/25           12/195         
UP000018309    0/0            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/1            0/0            1/1            0/1            0/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            2/2            2/6            1/3            2/41           
UP000274168    1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/25           
UP000476900    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/6            0/0            0/0            0/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            4/7            5/34           20/271         
UP000000771    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/2            2/10           5/61           
UP000266937    0/0            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            0/1            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/3            5/16           10/147         
UP000198977    2/2            0/0            2/2            1/1            0/1            0/1            0/0            0/0            0/0            0/0            3/4            0/0            0/1            0/2            0/1            0/0            0/2            0/0            0/0            0/0            2/2            1/4            4/22           20/122         
UP000188617    1/1            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/3            0/1            0/1            0/4            0/0            0/0            0/1            0/0            0/2            0/0            1/1            4/6            4/30           17/220         
UP000186364    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/1            2/2            0/0            0/1            0/3            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/5            3/22           20/204         
UP000001847    0/0            0/0            2/2            1/1            0/1            0/1            0/1            0/0            0/0            1/1            2/2            0/0            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/0            1/1            1/4            3/10           3/78           
UP000280008    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/2            0/0            1/1            2/3            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/1            0/0            1/1            1/3            3/18           7/98           
UP000031938    1/5            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            3/5            0/0            0/1            0/2            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/5            3/21           10/118         
UP000018840    0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/1            1/1            1/7            4/56           
UP000238956    0/1            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            1/1            0/0            0/0            0/0            0/0            0/0            0/2            0/0            0/0            0/0            2/2            1/1            3/9            12/80          
UP000078476    2/3            0/0            2/2            0/0            0/0            0/1            0/1            0/0            0/1            2/2            2/2            0/0            1/1            0/2            0/0            0/0            0/0            0/0            0/0            0/1            2/2            3/6            4/14           6/100          
UP000094259    2/3            0/0            0/0            1/1            1/1            0/1            0/0            0/0            0/1            1/1            1/2            0/1            0/1            0/2            0/1            0/0            1/3            0/1            0/1            0/0            0/0            3/7            2/14           8/126          
UP000294575    2/3            0/0            0/0            1/1            1/1            0/1            0/0            0/0            0/0            1/1            1/1            0/1            0/1            0/0            0/1            0/0            1/2            0/0            0/0            0/0            0/0            2/4            2/12           2/79           
UP000093657    3/4            0/0            2/2            1/1            0/0            0/1            0/1            0/0            0/0            1/3            2/5            0/0            1/2            0/1            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/2            4/16           4/85           
UP000051854    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/1            2/4            0/0            0/2            0/1            0/1            0/0            0/0            0/1            0/0            0/0            1/1            1/2            3/21           3/63           
UP000279275    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/1            1/1            2/3            0/0            0/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/7            6/26           11/132         
UP000295686    1/1            0/0            2/2            0/0            0/0            0/0            0/1            0/1            0/0            1/1            2/3            0/0            0/0            0/5            0/0            0/0            0/2            0/2            0/1            0/0            1/1            3/7            8/31           20/216         
UP000265865    0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/3            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            2/4            3/14           12/140         
UP000018680    0/0            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/1            1/1            1/1            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            2/2            1/3            2/12           10/113         
UP000199252    0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/1            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            2/4            2/16           6/72           
UP000236522    1/2            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            2/2            2/2            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/1            0/0            1/1            1/3            3/12           3/54           
UP000076947    1/1            0/0            2/2            0/1            0/0            0/0            0/1            0/0            0/1            1/1            2/3            0/0            0/0            0/1            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/3            2/15           8/87           
UP000316181    1/1            0/0            2/2            0/1            0/0            0/0            0/0            0/0            0/0            1/1            2/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/1            4/15           3/81           
UP000292235    1/1            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/3            0/0            0/1            0/2            0/0            0/0            0/2            0/0            0/1            0/0            1/1            2/4            2/18           9/136          
UP000016584    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/1            0/0            2/2            0/1            0/2            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            1/3            4/19           2/71           
UP000239007    2/3            0/0            0/0            1/1            0/0            0/0            0/0            0/0            0/0            1/1            0/0            0/2            0/1            0/1            0/0            0/1            1/1            0/0            0/0            0/0            0/0            2/6            4/17           2/69           
UP000242444    1/2            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/0            0/0            0/2            0/0            0/0            0/2            0/0            0/0            0/0            1/1            4/6            6/34           19/152         
UP000341143    1/1            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/5            0/0            0/1            0/3            0/0            0/0            0/1            0/0            0/0            0/0            1/1            1/3            5/26           19/193         
UP000198834    2/4            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/1            0/1            0/0            0/0            0/1            0/0            0/0            0/0            2/2            1/3            1/15           8/83           
UP000222233    2/2            0/0            2/2            1/1            0/0            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/1            0/0            0/1            0/0            0/2            0/0            0/0            0/0            1/1            1/2            3/8            3/47           
UP000029848    2/3            0/1            3/3            1/1            1/1            0/1            0/1            0/0            0/0            2/3            1/1            0/2            0/2            0/2            0/0            0/1            1/1            0/1            0/1            0/1            2/2            2/5            4/21           4/89           
UP000289792    1/1            0/0            2/2            1/1            0/1            0/0            0/0            0/0            0/0            0/0            3/4            0/0            0/2            0/0            0/2            0/0            0/0            0/0            0/0            0/0            2/2            1/4            4/23           3/69           
UP000293142    1/3            0/0            2/2            0/0            0/0            0/0            0/1            0/0            0/0            1/2            1/2            0/1            0/1            0/2            0/1            0/0            0/2            0/1            0/1            0/0            2/2            1/3            5/34           17/233         
UP000002480    2/2            0/0            0/0            0/2            0/0            0/0            0/1            0/0            0/0            1/1            0/0            0/1            0/1            0/0            0/1            0/0            0/1            0/0            0/0            0/0            0/0            2/3            2/4            1/29           
UP000305685    3/3            0/0            2/2            1/2            0/1            0/1            0/0            0/0            0/0            0/1            3/3            0/0            0/3            0/1            0/1            0/0            0/1            0/1            0/0            0/0            2/2            1/5            3/32           24/235         
UP000010931    1/1            0/0            2/3            0/0            0/0            0/0            0/0            0/0            0/0            1/1            2/3            0/0            0/0            0/3            0/0            0/0            0/3            0/1            0/0            0/0            1/1            2/6            4/27           16/226         
UP000031637    2/3            0/0            0/0            0/0            1/1            0/1            0/0            0/0            0/0            1/1            2/2            0/1            0/1            0/1            0/1            0/0            1/2            0/1            0/0            0/1            0/0            2/5            2/18           7/92           
UP000018075    0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/0            1/2            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/4            3/16           1/94           
UP000007507    2/2            0/0            0/0            0/1            1/1            0/1            0/0            0/0            0/0            1/1            1/2            0/1            0/0            0/0            0/0            0/0            1/1            0/0            0/0            0/2            0/0            2/6            2/17           19/173         
UP000294663    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/1            0/0            0/1            3/3            0/0            0/1            0/2            0/1            0/0            0/1            0/0            0/0            0/0            2/2            1/4            2/20           28/227         
UP000217895    3/3            0/0            2/2            1/1            0/0            0/0            0/5            0/0            0/1            1/2            2/2            0/1            1/2            0/1            0/0            0/1            0/1            0/1            0/0            0/1            2/2            3/7            7/18           13/175         
UP000283003    2/2            0/0            2/2            1/1            0/0            0/1            0/0            0/0            0/0            0/2            1/1            0/1            0/1            0/1            0/1            0/0            0/0            0/0            0/1            0/0            1/1            2/5            3/12           3/56           
UP000003764    0/2            0/0            0/0            0/0            0/1            0/0            0/0            0/0            0/0            0/0            2/2            0/0            0/0            0/0            0/0            0/0            0/0            0/0            0/1            0/0            0/0            1/1            2/9            5/81           
UP000192790    0/0            0/0            1/1            0/0            0/1            0/0            0/0            0/0            0/0            1/1            0/1            0/0            0/1            0/0            0/0            0/0            0/2            0/0            0/0            0/0            0/0            1/3            4/16           6/90           
